Alpha , Gamma , Eps , SuccessRate
0.9 , 0.3 , 0.05 , 0.8788
0.4 , 0.8 , 0.05 , 0.959
0.5 , 0.7 , 0.10 , 0.9064
0.2 , 0.9 , 0.05 , 0.9696
0.7 , 0.6 , 0.20 , 0.7562
0.7 , 0.7 , 0.20 , 0.7552
0.4 , 0.3 , 0.20 , 0.8182
0.6 , 0.9 , 0.20 , 0.7992
0.8 , 0.2 , 0.10 , 0.849
0.7 , 0.9 , 0.10 , 0.8702
0.6 , 0.8 , 0.10 , 0.8954
0.2 , 0.8 , 0.01 , 0.98
0.9 , 0.1 , 0.20 , 0.7772
0.5 , 0.4 , 0.01 , 0.9588
0.5 , 0.8 , 0.01 , 0.9742
0.6 , 0.7 , 0.10 , 0.8792
0.6 , 0.3 , 0.05 , 0.9146
0.8 , 0.9 , 0.05 , 0.8984
0.7 , 0.6 , 0.01 , 0.9546
0.2 , 0.3 , 0.10 , 0.9534
0.5 , 0.4 , 0.20 , 0.7916
0.7 , 0.7 , 0.10 , 0.8456
0.8 , 0.8 , 0.05 , 0.8714
0.6 , 0.9 , 0.10 , 0.9048
0.7 , 0.9 , 0.01 , 0.9714
0.1 , 0.1 , 0.01 , 0.9814
0.3 , 0.1 , 0.10 , 0.9274
0.9 , 0.4 , 0.01 , 0.9356
0.5 , 0.1 , 0.01 , 0.9684
0.4 , 0.1 , 0.05 , 0.9332
0.8 , 0.6 , 0.01 , 0.9302
0.1 , 0.7 , 0.10 , 0.9556
0.2 , 0.7 , 0.10 , 0.9526
0.5 , 0.9 , 0.20 , 0.8444
0.4 , 0.2 , 0.01 , 0.972
0.2 , 0.8 , 0.10 , 0.9562
0.3 , 0.6 , 0.10 , 0.9404
0.3 , 0.3 , 0.20 , 0.862
0.6 , 0.5 , 0.05 , 0.912
0.7 , 0.1 , 0.10 , 0.8662
0.8 , 0.3 , 0.20 , 0.767
0.9 , 0.5 , 0.01 , 0.9422
0.4 , 0.3 , 0.05 , 0.9418
0.6 , 0.8 , 0.01 , 0.9724
0.6 , 0.6 , 0.10 , 0.8774
0.4 , 0.7 , 0.05 , 0.9602
0.3 , 0.8 , 0.05 , 0.9588
0.3 , 0.9 , 0.20 , 0.8702
0.5 , 0.2 , 0.01 , 0.9604
0.3 , 0.5 , 0.01 , 0.9778
0.7 , 0.5 , 0.10 , 0.8534
0.9 , 0.2 , 0.05 , 0.8942
0.2 , 0.5 , 0.05 , 0.972
0.5 , 0.6 , 0.10 , 0.8982
0.6 , 0.5 , 0.10 , 0.8684
0.8 , 0.8 , 0.01 , 0.9546
0.4 , 0.4 , 0.05 , 0.9468
0.6 , 0.3 , 0.01 , 0.9502
0.7 , 0.8 , 0.10 , 0.8434
0.1 , 0.4 , 0.10 , 0.9556
0.2 , 0.6 , 0.20 , 0.9054
0.7 , 0.2 , 0.20 , 0.7916
0.7 , 0.3 , 0.01 , 0.9504
0.4 , 0.9 , 0.10 , 0.9384
0.6 , 0.2 , 0.20 , 0.7908
0.8 , 0.1 , 0.20 , 0.7802
0.6 , 0.4 , 0.10 , 0.8786
0.6 , 0.1 , 0.10 , 0.8776
0.5 , 0.8 , 0.10 , 0.9178
0.4 , 0.9 , 0.01 , 0.9748
0.2 , 0.6 , 0.05 , 0.971
0.1 , 0.1 , 0.10 , 0.9542
0.7 , 0.6 , 0.05 , 0.9032
0.3 , 0.4 , 0.10 , 0.9442
0.9 , 0.6 , 0.20 , 0.583
0.1 , 0.2 , 0.10 , 0.9602
